CUSTOM.dateTime,OSD.flyTime,OSD.latitude,OSD.longitude,OSD.height,OSD.heightMax,OSD.vpsHeight,OSD.altitude,OSD.xSpeed,OSD.xSpeedMax,OSD.ySpeed,OSD.ySpeedMax,OSD.zSpeed,OSD.zSpeedMax,OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.isGPSUsed,OSD.nonGPSCause,OSD.gpsNum,OSD.gpsLevel,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceleratorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,BATTERY.chargeLevel,BATTERY.voltage,BATTERY.current,BATTERY.currentCapacity,BATTERY.fullCapacity,BATTERY.cellNum,BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1,BATTERY.cellVoltage2,BATTERY.cellVoltage3,BATTERY.cellVoltage4,BATTERY.cellVoltageDeviation,BATTERY.maxCellVoltageDeviation,BATTERY.temperature,BATTERY.minTemperature,BATTERY.maxTemperature,HOME.latitude,HOME.longitude,HOME.altitude,HOME.heightLimit,HOME.isHomeRecord,HOME.goHomeMode,HOME.isDynamicHomePointEnabled,HOME.isNearDistanceLimit,HOME.isNearHeightLimit,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.IOCMode,HOME.goHomeHeight,HOME.IOCCourseLockAngle,HOME.maxAllowedHeight,HOME.currentFlightRecordIndex,RECOVER.appPlatform,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,APP.tip,APP.warn,DETAILS.totalTime,DETAILS.totalDistance,DETAILS.maxHeight,DETAILS.maxHorizontalSpeed,DETAILS.maxVerticalSpeed,DETAILS.photoNum,DETAILS.videoTime,DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.appPlatform,DETAILS.appVersion
2025-11-15T14:43:03.426Z,2.5,45.17022977373803,25.710232776107706,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.6,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,1024,1024,1024,1024,94,16.975,2.273,4032,4306,4,false,4.245,4.244,4.243,4.244,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:03.629Z,2.7,45.17022991725212,25.710232740128827,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,90,90,1024,1024,1024,1024,94,16.975,2.273,4032,4306,4,false,4.245,4.244,4.243,4.244,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:03.832Z,2.9,45.17022988819868,25.71023271512025,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,1024,1024,1024,1024,94,16.975,2.273,4032,4306,4,false,4.245,4.244,4.243,4.244,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:04.034Z,3.1,45.170230028285275,25.71023286584455,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,1024,1024,1024,1024,94,16.975,2.273,4032,4306,4,false,4.245,4.244,4.243,4.244,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:04.236Z,3.3,45.17023016274879,25.71023283789709,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,1024,1024,1024,1024,94,16.975,2.273,4032,4306,4,false,4.245,4.244,4.243,4.244,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:04.440Z,3.5,45.1702302931513,25.710232813982053,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,1024,1024,1024,1024,94,16.975,2.084,4031,4306,4,false,4.246,4.244,4.243,4.244,0.003,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:04.643Z,3.7,45.170230245568504,25.710232796455088,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,90,90,1024,1024,1024,1024,94,16.975,2.084,4031,4306,4,false,4.246,4.244,4.243,4.244,0.003,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:04.847Z,3.9,45.17023037619509,25.710232954161317,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,364,489,364,1684,94,16.975,2.084,4031,4306,4,false,4.246,4.244,4.243,4.244,0.003,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:05.050Z,4.1,45.17023032890541,25.710232932895064,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,364,364,364,1684,94,16.975,2.084,4031,4306,4,false,4.246,4.244,4.243,4.244,0.003,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:05.251Z,4.3,45.17023028693407,25.710233084609623,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,364,364,364,1684,94,16.975,2.084,4031,4306,4,false,4.246,4.244,4.243,4.244,0.003,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:05.454Z,4.5,45.1702302491233,25.710233227185558,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,364,364,364,1684,94,16.975,2.124,4030,4306,4,false,4.245,4.244,4.243,4.243,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:05.657Z,4.7,45.170230216537156,25.71023318997645,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,90,90,364,364,364,1684,94,16.975,2.124,4030,4306,4,false,4.245,4.244,4.243,4.243,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:05.860Z,4.9,45.1702303605612,25.71023332298393,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,364,364,364,1684,94,16.975,2.124,4030,4306,4,false,4.245,4.244,4.243,4.243,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:06.063Z,5.1,45.17023033003306,25.71023327893718,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,364,364,364,1684,94,16.975,2.124,4030,4306,4,false,4.245,4.244,4.243,4.243,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:06.266Z,5.3,45.17023047483019,25.710233239045873,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,364,364,364,1684,94,16.975,2.124,4030,4306,4,false,4.245,4.244,4.243,4.243,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
2025-11-15T14:43:06.468Z,5.5,45.170230444379676,25.710233204140785,0.0,0.0,0.0,657.3644,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-1.1,18.5,AssistedTakeoff,,None,true,Already,28,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,18.9,false,false,false,false,false,false,true,Normal,0,90,364,364,364,1684,94,16.971,2.149,4030,4306,4,false,4.245,4.243,4.243,4.243,0.002,0.01,30.3,30.2,30.3,45.17023817493623,25.71022940393642,657.3644,120.0,true,FixedHeight,false,false,false,false,,true,false,false,,50,,120.0,43,DJIFly,46.0.0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,4ERPL9GEA1CWKD,,,5.4,0.00030307303,0.0,0.0,0.0,0,0,dji aircraft,1581F5FJC251F00E,1TCTMCF03BJ3NK,5YSZN16003N8PC,DJIFly,46.0.0
